Student ID,Courses
6697057,HarvardX/CS50x/2012
632515,HarvardX/CS50x/2012
2759397,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
7020738,HarvardX/CS50x/2012
1820901,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
2396575,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
5104203,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
736792,HarvardX/PH207x/2012_Fall
9917220,HarvardX/CS50x/2012
5467159,HarvardX/CS50x/2012
2084100,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
1865020,HarvardX/CS50x/2012
2771136,HarvardX/CS50x/2012
7628721,HarvardX/CS50x/2012
8766084,HarvardX/CS50x/2012
5423160,HarvardX/CS50x/2012
4618870,HarvardX/CS50x/2012
1078685,HarvardX/ER22x/2013_Spring
6529127,HarvardX/CS50x/2012
2194054,HarvardX/ER22x/2013_Spring
9571282,HarvardX/CS50x/2012
7840581,HarvardX/CS50x/2012
7424515,HarvardX/CB22x/2013_Spring,HarvardX/SPU27x/2013_Oct
1305063,HarvardX/CS50x/2012
8947648,HarvardX/CB22x/2013_Spring
8309857,HarvardX/PH207x/2012_Fall
8810767,HarvardX/HDS1544.1x/2013_SOND
8227577,HarvardX/PH278x/2013_Spring
7928958,HarvardX/ER22x/2013_Spring
7424518,HarvardX/GSE1x/2014_JFMA
4959314,HarvardX/CS50x/2012
9631165,HarvardX/PH201x/2013_SOND
4290545,HarvardX/CS50x/2012
6498966,HarvardX/CB22x/2013_Spring
1757145,HarvardX/ER22x/2013_Spring
4864434,HarvardX/CS50x/2012
3148895,HarvardX/PH278x/2013_Spring
3994119,HarvardX/CS50x/2012
2120057,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
6794687,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
1609108,HarvardX/CS50x/2012
705845,HarvardX/ER22x/2013_Spring
4734455,HarvardX/ER22x/2013_Spring
4491019,HarvardX/CS50x/2012
9633429,HarvardX/PH278x/2013_Spring
3921280,HarvardX/SPU27x/2013_Oct
9325692,HarvardX/CS50x/2012
5833979,HarvardX/CS50x/2012
5726848,HarvardX/CS50x/2012
1824739,HarvardX/CS50x/2012
7487370,HarvardX/CS50x/2012
6938350,HarvardX/MCB80.1x/2013_SOND,HarvardX/SW12x/2013_SOND
3461565,HarvardX/PH207x/2012_Fall
3541112,HarvardX/GSE1x/2014_JFMA,HarvardX/SPU27x/2013_Oct
2673545,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
3669539,HarvardX/GSE1x/2014_JFMA,HarvardX/SPU27x/2013_Oct
8766229,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
4860539,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8050655,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
1266307,HarvardX/PH207x/2012_Fall
2581955,HarvardX/ER22x/2013_Spring
4991445,HarvardX/PH278x/2013_Spring
301214,HarvardX/CS50x/2012
5212761,HarvardX/CS50x/2012
7907823,HarvardX/PH278x/2013_Spring
9666881,HarvardX/PH278x/2013_Spring
4169662,HarvardX/CB22x/2013_Spring
1243704,HarvardX/PH207x/2012_Fall
5378082,HarvardX/CS50x/2012
7164475,HarvardX/CS50x/2012
4031634,HarvardX/CS50x/2012
1825283,HarvardX/SPU27x/2013_Oct
348128,HarvardX/CB22x/2013_Spring
1646677,HarvardX/CS50x/2012
210095,HarvardX/CS50x/2012
1097506,HarvardX/CS50x/2012
3116779,HarvardX/SPU27x/2013_Oct
7254169,HarvardX/CS50x/2012
6312481,HarvardX/CS50x/2012
5940195,HarvardX/CS50x/2012
5936307,HarvardX/CS50x/2012
9615756,HarvardX/ER22x/2013_Spring
6469646,HarvardX/PH278x/2013_Spring
8729184,HarvardX/CS50x/2012
3816981,HarvardX/CS50x/2012
2002573,HarvardX/CS50x/2012
681704,HarvardX/PH278x/2013_Spring
7868520,HarvardX/ER22x/2013_Spring,HarvardX/SW12x/2013_SOND
2117044,HarvardX/PH207x/2012_Fall
1216172,HarvardX/SPU27x/2013_Oct
422412,HarvardX/CS50x/2012
9194448,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
2213210,HarvardX/CB22x/2013_Spring,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
9592256,HarvardX/CS50x/2012
1397882,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8273034,HarvardX/PH207x/2012_Fall
2717582,HarvardX/ER22x/2013_Spring
4359312,HarvardX/PH278x/2013_Spring
3739473,HarvardX/ER22x/2013_Spring
3546656,HarvardX/ER22x/2013_Spring,HarvardX/SPU27x/2013_Oct
727548,HarvardX/CS50x/2012
7025763,HarvardX/PH207x/2012_Fall
1291986,HarvardX/HDS1544.1x/2013_SOND,HarvardX/SPU27x/2013_Oct
385081,HarvardX/GSE1x/2014_JFMA
801780,HarvardX/CS50x/2012
3827052,HarvardX/PH207x/2012_Fall
3776885,HarvardX/PH278x/2013_Spring
5021620,HarvardX/SPU27x/2013_Oct
3827058,HarvardX/CS50x/2012
2087452,HarvardX/CS50x/2012
5396289,HarvardX/CS50x/2012
1631462,HarvardX/ER22x/2013_Spring
561016,HarvardX/SPU27x/2013_Oct
4100820,HarvardX/CS50x/2012
8599715,HarvardX/CS50x/2012
4100827,HarvardX/PH278x/2013_Spring
2979454,HarvardX/CS50x/2012
5116528,HarvardX/CS50x/2012
8085073,HarvardX/PH278x/2013_Spring
380442,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
1725274,HarvardX/ER22x/2013_Spring
6629973,HarvardX/CS50x/2012
8158859,HarvardX/CS50x/2012
520174,HarvardX/CS50x/2012
3852797,HarvardX/ER22x/2013_Spring
1079240,HarvardX/CS50x/2012
4323711,HarvardX/CS50x/2012
475237,HarvardX/CS50x/2012
7111680,HarvardX/PH207x/2012_Fall
676728,HarvardX/CS50x/2012
9205089,HarvardX/CS50x/2012
8592526,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
3148671,HarvardX/CS50x/2012
5807190,HarvardX/CB22x/2013_Spring
8640595,HarvardX/PH207x/2012_Fall
4686592,HarvardX/PH207x/2012_Fall
7655171,HarvardX/ER22x/2013_Spring
8300533,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
8698574,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring,HarvardX/CB22x/2013_Spring
